fran_id,pts,opp_fran,opp_pts,game_location,date
Clippers,119,Timberwolves,105,A,2016-11-12
Lakers,126,Pelicans,99,A,2016-11-12
Nets,122,Suns,104,A,2016-11-12
Knicks,107,Raptors,118,A,2016-11-12
Hornets,93,Cavaliers,100,A,2016-11-13
Suns,120,Warriors,133,A,2016-11-13
Lakers,99,Timberwolves,125,A,2016-11-13
Magic,119,Thunder,117,A,2016-11-13
Nuggets,105,Trailblazers,112,A,2016-11-13
Thunder,88,Pistons,104,A,2016-11-14
Sixers,88,Rockets,115,A,2016-11-14
Magic,69,Pacers,88,A,2016-11-14
Nets,95,Clippers,127,A,2016-11-14
Celtics,105,Pelicans,106,A,2016-11-14
Mavericks,77,Knicks,93,A,2016-11-14
Heat,90,Spurs,94,A,2016-11-14
Grizzlies,102,Jazz,96,A,2016-11-14
Raptors,117,Cavaliers,121,A,2016-11-15
Nets,118,Lakers,125,A,2016-11-15
Hawks,93,Heat,90,A,2016-11-15
Hornets,115,Timberwolves,108,A,2016-11-15
Bulls,113,Trailblazers,88,A,2016-11-15
Bucks,100,Hawks,107,A,2016-11-16
Mavericks,83,Celtics,90,A,2016-11-16
Suns,104,Nuggets,120,A,2016-11-16
Cavaliers,93,Pacers,103,A,2016-11-16
Grizzlies,111,Clippers,107,A,2016-11-16
Pistons,102,Knicks,105,A,2016-11-16
Rockets,103,Thunder,105,A,2016-11-16
Pelicans,82,Magic,89,A,2016-11-16
Wizards,102,Sixers,109,A,2016-11-16
Spurs,110,Kings,105,A,2016-11-16
Warriors,127,Raptors,121,A,2016-11-16
Trailblazers,109,Rockets,126,A,2016-11-17
Bucks,73,Heat,96,A,2016-11-17
Sixers,86,Timberwolves,110,A,2016-11-17
Bulls,85,Jazz,77,A,2016-11-17
Knicks,112,Wizards,119,A,2016-11-17
Warriors,104,Celtics,88,A,2016-11-18
Hawks,96,Hornets,100,A,2016-11-18
Pistons,81,Cavaliers,104,A,2016-11-18
Grizzlies,80,Mavericks,64,A,2016-11-18
Raptors,113,Nuggets,111,A,2016-11-18
Suns,116,Pacers,96,A,2016-11-18
Spurs,116,Lakers,107,A,2016-11-18
Trailblazers,101,Pelicans,113,A,2016-11-18
Nets,105,Thunder,124,A,2016-11-18
Clippers,121,Kings,115,A,2016-11-18
Celtics,94,Pistons,92,A,2016-11-19
Jazz,102,Rockets,111,A,2016-11-19
Bulls,95,Clippers,102,A,2016-11-19
Timberwolves,71,Grizzlies,93,A,2016-11-19
Warriors,124,Bucks,121,A,2016-11-19
Hornets,116,Pelicans,121,A,2016-11-19
Mavericks,87,Magic,95,A,2016-11-19
Suns,105,Sixers,120,A,2016-11-19
Heat,114,Wizards,111,A,2016-11-19
Trailblazers,129,Nets,109,A,2016-11-20
Jazz,91,Nuggets,105,A,2016-11-20
Bulls,118,Lakers,110,A,2016-11-20
Hawks,94,Knicks,104,A,2016-11-20
Pacers,115,Thunder,111,A,2016-11-20
Raptors,99,Kings,102,A,2016-11-20
Grizzlies,105,Hornets,90,A,2016-11-21
Rockets,99,Pistons,96,A,2016-11-21
Warriors,120,Pacers,83,A,2016-11-21
Raptors,115,Clippers,123,A,2016-11-21
Magic,89,Bucks,93,A,2016-11-21
Celtics,99,Timberwolves,93,A,2016-11-21
Heat,94,Sixers,101,A,2016-11-21
Mavericks,91,Spurs,96,A,2016-11-21
Suns,101,Wizards,106,A,2016-11-21
Pelicans,112,Hawks,94,A,2016-11-22
Bulls,107,Nuggets,110,A,2016-11-22
Thunder,109,Lakers,111,A,2016-11-22
Trailblazers,103,Knicks,107,A,2016-11-22
Celtics,111,Nets,92,A,2016-11-23
Spurs,119,Hornets,114,A,2016-11-23
Trailblazers,125,Cavaliers,137,A,2016-11-23
Clippers,124,Mavericks,104,A,2016-11-23
Heat,84,Pistons,107,A,2016-11-23
Lakers,106,Warriors,149,A,2016-11-23
Raptors,115,Rockets,102,A,2016-11-23
Hawks,96,Pacers,85,A,2016-11-23
Timberwolves,96,Pelicans,117,A,2016-11-23
Suns,92,Magic,87,A,2016-11-23
Grizzlies,104,Sixers,99,A,2016-11-23
Thunder,101,Kings,116,A,2016-11-23
Nuggets,83,Jazz,108,A,2016-11-23
Spurs,109,Celtics,103,A,2016-11-25
Mavericks,90,Cavaliers,128,A,2016-11-25
Thunder,132,Nuggets,129,A,2016-11-25
Clippers,97,Pistons,108,A,2016-11-25
Nets,97,Pacers,118,A,2016-11-25
Warriors,109,Lakers,85,A,2016-11-25
Heat,90,Grizzlies,81,A,2016-11-25
Raptors,105,Bucks,99,A,2016-11-25
Hornets,111,Knicks,113,A,2016-11-25
Wizards,94,Magic,91,A,2016-11-25
Bulls,105,Sixers,89,A,2016-11-25
Timberwolves,98,Suns,85,A,2016-11-25
Pelicans,104,Trailblazers,119,A,2016-11-25
Rockets,117,Kings,104,A,2016-11-25
Hawks,68,Jazz,95,A,2016-11-25
Knicks,102,Hornets,107,A,2016-11-26
Timberwolves,102,Warriors,115,A,2016-11-26
Grizzlies,110,Heat,107,A,2016-11-26
Pistons,88,Thunder,106,A,2016-11-26
Spurs,112,Wizards,100,A,2016-11-26
Kings,122,Nets,105,A,2016-11-27
Pelicans,81,Mavericks,91,A,2016-11-27
Clippers,70,Pacers,91,A,2016-11-27
Hawks,94,Lakers,109,A,2016-11-27
Bucks,104,Magic,96,A,2016-11-27
Cavaliers,112,Sixers,108,A,2016-11-27
Nuggets,120,Suns,114,A,2016-11-27
Rockets,130,Trailblazers,114,A,2016-11-27
Hawks,100,Warriors,105,A,2016-11-28
Hornets,104,Grizzlies,85,A,2016-11-28
Celtics,112,Heat,104,A,2016-11-28
Jazz,112,Timberwolves,103,A,2016-11-28
Thunder,112,Knicks,103,A,2016-11-28
Sixers,95,Raptors,122,A,2016-11-28
Kings,95,Wizards,101,A,2016-11-28
Clippers,122,Nets,127,A,2016-11-29
Pistons,112,Hornets,89,A,2016-11-29
Cavaliers,101,Bucks,118,A,2016-11-29
Lakers,88,Pelicans,105,A,2016-11-29
Magic,95,Spurs,83,A,2016-11-29
Rockets,101,Jazz,120,A,2016-11-29
Pistons,121,Celtics,114,A,2016-11-30
Lakers,96,Bulls,90,A,2016-11-30
Spurs,94,Mavericks,87,A,2016-11-30
Heat,106,Nuggets,98,A,2016-11-30
Knicks,106,Timberwolves,104,A,2016-11-30
Wizards,115,Thunder,126,A,2016-11-30
Hawks,107,Suns,109,A,2016-11-30
Pacers,109,Trailblazers,131,A,2016-11-30
Grizzlies,105,Raptors,120,A,2016-11-30
Bucks,111,Nets,93,A,2016-12-01
Mavericks,87,Hornets,97,A,2016-12-01
Clippers,113,Cavaliers,94,A,2016-12-01
Rockets,132,Warriors,127,A,2016-12-01
Magic,94,Grizzlies,95,A,2016-12-01
Heat,111,Jazz,110,A,2016-12-01
Pistons,121,Hawks,85,A,2016-12-02
Kings,92,Celtics,97,A,2016-12-02
Cavaliers,105,Bulls,111,A,2016-12-02
Rockets,128,Nuggets,110,A,2016-12-02
Clippers,114,Pelicans,96,A,2016-12-02
Timberwolves,114,Knicks,118,A,2016-12-02
Magic,105,Sixers,88,A,2016-12-02
Wizards,105,Spurs,107,A,2016-12-02
Lakers,80,Raptors,113,A,2016-12-02
Timberwolves,125,Hornets,120,A,2016-12-03
Bulls,82,Mavericks,107,A,2016-12-03
Suns,109,Warriors,138,A,2016-12-03
Lakers,100,Grizzlies,103,A,2016-12-03
Nets,103,Bucks,112,A,2016-12-03
Celtics,107,Sixers,106,A,2016-12-03
Heat,92,Trailblazers,99,A,2016-12-03
Hawks,84,Raptors,128,A,2016-12-03
Nuggets,98,Jazz,105,A,2016-12-03
Magic,98,Pistons,92,A,2016-12-04
Pacers,111,Clippers,102,A,2016-12-04
Kings,98,Knicks,106,A,2016-12-04
Pelicans,92,Thunder,101,A,2016-12-04
Thunder,102,Hawks,99,A,2016-12-05
Wizards,118,Nets,113,A,2016-12-05
Trailblazers,112,Bulls,110,A,2016-12-05
Hornets,109,Mavericks,101,A,2016-12-05
Pacers,106,Warriors,142,A,2016-12-05
Celtics,106,Rockets,107,A,2016-12-05
Jazz,107,Lakers,101,A,2016-12-05
Spurs,97,Bucks,96,A,2016-12-05
Grizzlies,110,Pelicans,108,A,2016-12-05
Nuggets,106,Sixers,98,A,2016-12-05
Cavaliers,116,Raptors,112,A,2016-12-05
Bulls,91,Pistons,102,A,2016-12-06
Sixers,91,Grizzlies,96,A,2016-12-06
Knicks,114,Heat,103,A,2016-12-06
Spurs,105,Timberwolves,91,A,2016-12-06
Suns,105,Jazz,112,A,2016-12-06
Magic,124,Wizards,116,A,2016-12-06
Heat,95,Hawks,103,A,2016-12-07
Nuggets,111,Nets,116,A,2016-12-07
Pistons,77,Hornets,87,A,2016-12-07
Kings,120,Mavericks,89,A,2016-12-07
Lakers,95,Rockets,134,A,2016-12-07
Warriors,115,Clippers,98,A,2016-12-07
Trailblazers,107,Bucks,115,A,2016-12-07
Cavaliers,126,Knicks,94,A,2016-12-07
Celtics,117,Magic,87,A,2016-12-07
Pacers,109,Suns,94,A,2016-12-07
Spurs,91,Bulls,95,A,2016-12-08
Trailblazers,86,Grizzlies,88,A,2016-12-08
Sixers,99,Pelicans,88,A,2016-12-08
Timberwolves,110,Raptors,124,A,2016-12-08
Warriors,106,Jazz,99,A,2016-12-08
Nuggets,85,Wizards,92,A,2016-12-08
Raptors,101,Celtics,94,A,2016-12-09
Magic,88,Hornets,109,A,2016-12-09
Heat,84,Cavaliers,114,A,2016-12-09
Pacers,103,Mavericks,111,A,2016-12-09
Suns,119,Lakers,115,A,2016-12-09
Hawks,114,Bucks,110,A,2016-12-09
Pistons,117,Timberwolves,90,A,2016-12-09
Rockets,102,Thunder,99,A,2016-12-09
Knicks,103,Kings,100,A,2016-12-09
Heat,100,Bulls,105,A,2016-12-10
Hornets,105,Cavaliers,116,A,2016-12-10
Mavericks,87,Rockets,109,A,2016-12-10
