date,away,home,amp,afg,afga,afg_pct,afg3,afg3a,afg3_pct,aft,afta,aft_pct,aord,adrb,atrb,aast,astl,ablk,atov,apf,apts,hmp,hfg,hfga,hfg_pct,hfg3,hfg3a,fhg3_pct,hft,hfta,hft_pct,hord,hdrb,htrb,hast,hstl,hblk,htov,hpf,hpts
2016-11-23,Heat,Pistons,240,27,75,.360,7,26,.269,23,30,.767,7,30,37,19,5,4,14,22,84,240,40,81,.494,6,19,.316,21,25,.840,10,39,49,22,8,7,13,19,107
2016-11-23,Lakers,Warriors,240,40,93,.430,8,20,.400,18,22,.818,7,30,37,22,5,1,11,25,106,240,53,86,.616,19,36,.528,24,35,.686,6,42,48,47,7,5,10,20,149
2016-11-23,Raptors,Rockets,240,43,88,.489,12,23,.522,17,21,.810,15,23,38,28,14,7,14,15,115,240,38,78,.487,14,42,.333,12,12,1.000,11,28,39,29,6,7,26,22,102
2016-11-23,Hawks,Pacers,240,36,85,.424,5,20,.250,19,22,.864,17,39,56,17,11,7,21,18,96,240,34,84,.405,7,27,.259,10,14,.714,7,30,37,16,15,5,18,20,85
2016-11-23,Timberwolves,Pelicans,240,33,86,.384,3,17,.176,27,33,.818,8,33,41,23,12,3,17,19,96,240,45,83,.542,9,24,.375,18,23,.783,4,41,45,27,10,6,17,21,117
2016-11-23,Suns,Magic,240,33,73,.452,9,22,.409,17,22,.773,6,38,44,15,6,7,17,20,92,240,33,91,.363,7,25,.280,14,23,.609,11,33,44,17,9,8,11,19,87
2016-11-23,Grizzlies,Sixers,290,38,99,.384,10,29,.345,18,24,.750,9,37,46,24,13,9,15,28,104,290,35,93,.376,12,36,.333,17,23,.739,8,48,56,24,9,10,26,32,99
2016-11-23,Thunder,Kings,240,32,76,.421,7,25,.280,30,38,.789,5,33,38,18,7,7,9,21,101,240,44,94,.468,12,28,.429,16,17,.941,11,35,46,26,4,1,11,23,116
2016-11-23,Nuggets,Jazz,240,28,88,.318,9,27,.333,18,31,.581,14,35,49,14,5,5,10,22,83,240,39,79,.494,8,26,.308,22,31,.710,4,47,51,19,4,3,14,25,108
2016-11-25,Spurs,Celtics,240,38,81,.469,11,24,.458,22,25,.880,13,32,45,24,4,8,16,12,109,240,42,91,.462,12,34,.353,7,9,.778,8,28,36,32,8,4,10,21,103
2016-11-25,Mavericks,Cavaliers,240,37,91,.407,8,35,.229,8,12,.667,11,28,39,29,5,4,13,21,90,240,43,85,.506,20,43,.465,22,24,.917,9,38,47,30,9,3,14,16,128
2016-11-25,Thunder,Nuggets,265,48,95,.505,13,26,.500,23,29,.793,7,33,40,29,11,4,13,21,132,265,48,101,.475,12,34,.353,21,27,.778,13,38,51,34,10,7,16,21,129
2016-11-25,Clippers,Pistons,240,35,73,.479,7,21,.333,20,26,.769,6,26,32,26,4,6,14,16,97,240,47,90,.522,9,19,.474,5,7,.714,9,33,42,26,7,0,10,22,108
2016-11-25,Nets,Pacers,240,36,79,.456,11,34,.324,14,23,.609,9,29,38,24,8,4,19,17,97,240,48,87,.552,11,26,.423,11,16,.688,9,38,47,25,11,5,14,19,118
2016-11-25,Warriors,Lakers,240,43,83,.518,11,28,.393,12,17,.706,4,40,44,31,10,10,17,21,109,240,32,90,.356,5,22,.227,16,23,.696,14,31,45,20,12,3,18,16,85
2016-11-25,Heat,Grizzlies,240,33,85,.388,12,31,.387,12,18,.667,10,34,44,17,8,8,8,21,90,240,29,82,.354,4,19,.211,19,23,.826,16,35,51,14,3,14,17,16,81
2016-11-25,Raptors,Bucks,240,38,82,.463,14,32,.438,15,19,.789,11,27,38,18,3,5,9,17,105,240,40,79,.506,12,29,.414,7,12,.583,7,31,38,26,4,2,11,19,99
2016-11-25,Hornets,Knicks,265,43,93,.462,8,29,.276,17,27,.630,10,36,46,25,6,4,13,14,111,265,45,97,.464,11,28,.393,12,13,.923,13,42,55,26,9,8,16,21,113
2016-11-25,Wizards,Magic,240,40,88,.455,6,29,.207,8,10,.800,7,30,37,26,10,4,11,17,94,240,35,80,.438,7,23,.304,14,20,.700,14,35,49,18,5,7,19,16,91
2016-11-25,Bulls,Sixers,240,40,90,.444,6,21,.286,19,26,.731,11,40,51,24,10,5,12,17,105,240,31,78,.397,9,22,.409,18,22,.818,8,40,48,18,7,8,19,21,89
2016-11-25,Timberwolves,Suns,240,34,85,.400,7,22,.318,23,25,.920,11,28,39,16,15,8,17,27,98,240,32,79,.405,6,26,.231,15,21,.714,12,36,48,17,11,6,25,26,85
2016-11-25,Pelicans,Trailblazers,240,36,76,.474,13,23,.565,19,29,.655,2,32,34,20,3,8,14,14,104,240,47,100,.470,12,32,.375,13,17,.765,12,40,52,30,7,5,11,20,119
2016-11-25,Rockets,Kings,240,40,85,.471,21,50,.420,16,20,.800,8,34,42,27,8,2,14,19,117,240,39,80,.488,9,32,.281,17,21,.810,4,33,37,24,7,6,14,18,104
2016-11-25,Hawks,Jazz,240,26,83,.313,8,25,.320,8,12,.667,6,34,40,11,8,4,14,16,68,240,35,80,.438,10,34,.294,15,18,.833,9,46,55,17,9,9,16,16,95
2016-11-26,Knicks,Hornets,240,37,98,.378,12,32,.375,16,20,.800,10,36,46,26,9,6,8,27,102,240,35,80,.438,8,22,.364,29,42,.690,10,42,52,16,3,9,10,14,107
2016-11-26,Timberwolves,Warriors,240,41,89,.461,10,35,.286,10,12,.833,8,24,32,22,8,3,13,15,102,240,45,81,.556,11,22,.500,14,17,.824,12,33,45,25,9,8,18,14,115
2016-11-26,Grizzlies,Heat,240,37,73,.507,9,25,.360,27,33,.818,2,32,34,23,5,5,6,19,110,240,40,81,.494,11,31,.355,16,24,.667,8,31,39,18,3,6,9,21,107
2016-11-26,Pistons,Thunder,240,37,82,.451,1,19,.053,13,17,.765,6,26,32,11,7,1,8,20,88,240,42,83,.506,8,23,.348,14,26,.538,10,33,43,23,4,3,10,16,106
2016-11-26,Spurs,Wizards,240,40,75,.533,9,24,.375,23,29,.793,6,32,38,22,7,6,14,17,112,240,42,88,.477,6,22,.273,10,14,.714,12,28,40,21,11,1,12,26,100
2016-11-27,Kings,Nets,240,46,86,.535,13,23,.565,17,22,.773,9,36,45,24,11,3,13,12,122,240,38,87,.437,16,39,.410,13,14,.929,9,33,42,19,7,1,15,21,105
2016-11-27,Pelicans,Mavericks,240,30,77,.390,5,20,.250,16,18,.889,10,32,42,17,8,3,13,19,81,240,32,77,.416,10,27,.370,17,20,.850,11,35,46,19,7,3,12,18,91
2016-11-27,Clippers,Pacers,240,22,70,.314,4,24,.167,22,27,.815,6,34,40,11,9,4,20,13,70,240,40,92,.435,5,19,.263,6,7,.857,13,39,52,26,8,4,13,21,91
2016-11-27,Hawks,Lakers,240,39,88,.443,12,35,.343,4,10,.400,7,31,38,25,5,6,12,19,94,240,42,95,.442,8,20,.400,17,20,.850,15,38,53,20,7,2,9,15,109
2016-11-27,Bucks,Magic,240,41,86,.477,8,24,.333,14,20,.700,10,43,53,24,6,6,11,16,104,240,38,92,.413,7,28,.250,13,17,.765,10,36,46,24,6,5,7,17,96
2016-11-27,Cavaliers,Sixers,240,38,92,.413,12,40,.300,24,28,.857,14,32,46,19,5,3,9,14,112,240,43,92,.467,15,34,.441,7,10,.700,13,37,50,29,5,5,16,24,108
2016-11-27,Nuggets,Suns,240,39,89,.438,13,29,.448,29,32,.906,10,39,49,21,5,1,12,25,120,240,36,89,.404,11,25,.440,31,36,.861,9,37,46,11,5,7,11,24,114
2016-11-27,Rockets,Trailblazers,240,46,82,.561,17,36,.472,21,28,.750,7,29,36,26,7,8,11,23,130,240,40,83,.482,12,33,.364,22,29,.759,8,27,35,24,7,2,14,24,114
2016-11-28,Hawks,Warriors,240,36,86,.419,7,29,.241,21,30,.700,14,37,51,20,11,4,18,22,100,240,37,85,.435,12,35,.343,19,24,.792,7,34,41,25,6,10,14,20,105
2016-11-28,Hornets,Grizzlies,240,36,82,.439,9,26,.346,23,31,.742,9,38,47,24,3,4,13,14,104,240,36,89,.404,7,29,.241,6,13,.462,8,34,42,21,10,4,12,25,85
