Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Mon, Dec 5, 2016",7:30 pm,Oklahoma City Thunder,102,Atlanta Hawks,99
"Mon, Dec 5, 2016",7:30 pm,Washington Wizards,118,Brooklyn Nets,113
"Mon, Dec 5, 2016",8:00 pm,Portland Trail Blazers,112,Chicago Bulls,110
"Mon, Dec 5, 2016",8:30 pm,Charlotte Hornets,109,Dallas Mavericks,101
"Mon, Dec 5, 2016",10:30 pm,Indiana Pacers,106,Golden State Warriors,142
"Mon, Dec 5, 2016",8:00 pm,Boston Celtics,106,Houston Rockets,107
"Mon, Dec 5, 2016",10:30 pm,Utah Jazz,107,Los Angeles Lakers,101
"Mon, Dec 5, 2016",8:00 pm,San Antonio Spurs,97,Milwaukee Bucks,96
"Mon, Dec 5, 2016",8:00 pm,Memphis Grizzlies,110,New Orleans Pelicans,108
"Mon, Dec 5, 2016",7:00 pm,Denver Nuggets,106,Philadelphia 76ers,98
"Mon, Dec 5, 2016",7:30 pm,Cleveland Cavaliers,116,Toronto Raptors,112
"Tue, Dec 6, 2016",7:30 pm,Chicago Bulls,91,Detroit Pistons,102
"Tue, Dec 6, 2016",8:00 pm,Philadelphia 76ers,91,Memphis Grizzlies,96
"Tue, Dec 6, 2016",7:30 pm,New York Knicks,114,Miami Heat,103
"Tue, Dec 6, 2016",8:00 pm,San Antonio Spurs,105,Minnesota Timberwolves,91
"Tue, Dec 6, 2016",9:00 pm,Phoenix Suns,105,Utah Jazz,112
"Tue, Dec 6, 2016",7:00 pm,Orlando Magic,124,Washington Wizards,116
"Wed, Dec 7, 2016",7:30 pm,Miami Heat,95,Atlanta Hawks,103
"Wed, Dec 7, 2016",7:30 pm,Denver Nuggets,111,Brooklyn Nets,116
"Wed, Dec 7, 2016",7:00 pm,Detroit Pistons,77,Charlotte Hornets,87
"Wed, Dec 7, 2016",8:30 pm,Sacramento Kings,120,Dallas Mavericks,89
"Wed, Dec 7, 2016",8:00 pm,Los Angeles Lakers,95,Houston Rockets,134
"Wed, Dec 7, 2016",10:30 pm,Golden State Warriors,115,Los Angeles Clippers,98
"Wed, Dec 7, 2016",8:00 pm,Portland Trail Blazers,107,Milwaukee Bucks,115
"Wed, Dec 7, 2016",8:00 pm,Cleveland Cavaliers,126,New York Knicks,94
"Wed, Dec 7, 2016",7:00 pm,Boston Celtics,117,Orlando Magic,87
"Wed, Dec 7, 2016",9:00 pm,Indiana Pacers,109,Phoenix Suns,94
"Thu, Dec 8, 2016",9:30 pm,San Antonio Spurs,91,Chicago Bulls,95
"Thu, Dec 8, 2016",8:00 pm,Portland Trail Blazers,86,Memphis Grizzlies,88
"Thu, Dec 8, 2016",8:00 pm,Philadelphia 76ers,99,New Orleans Pelicans,88
"Thu, Dec 8, 2016",7:00 pm,Minnesota Timberwolves,110,Toronto Raptors,124
"Thu, Dec 8, 2016",9:00 pm,Golden State Warriors,106,Utah Jazz,99
"Thu, Dec 8, 2016",7:00 pm,Denver Nuggets,85,Washington Wizards,92
"Fri, Dec 9, 2016",7:30 pm,Toronto Raptors,101,Boston Celtics,94
"Fri, Dec 9, 2016",7:00 pm,Orlando Magic,88,Charlotte Hornets,109
"Fri, Dec 9, 2016",7:30 pm,Miami Heat,84,Cleveland Cavaliers,114
"Fri, Dec 9, 2016",8:30 pm,Indiana Pacers,103,Dallas Mavericks,111
"Fri, Dec 9, 2016",10:30 pm,Phoenix Suns,119,Los Angeles Lakers,115
"Fri, Dec 9, 2016",8:00 pm,Atlanta Hawks,114,Milwaukee Bucks,110
"Fri, Dec 9, 2016",8:00 pm,Detroit Pistons,117,Minnesota Timberwolves,90
"Fri, Dec 9, 2016",8:00 pm,Houston Rockets,102,Oklahoma City Thunder,99
"Fri, Dec 9, 2016",10:30 pm,New York Knicks,103,Sacramento Kings,100
"Sat, Dec 10, 2016",8:00 pm,Miami Heat,100,Chicago Bulls,105
"Sat, Dec 10, 2016",7:30 pm,Charlotte Hornets,105,Cleveland Cavaliers,116
"Sat, Dec 10, 2016",8:00 pm,Dallas Mavericks,87,Houston Rockets,109
"Sat, Dec 10, 2016",7:00 pm,Portland Trail Blazers,111,Indiana Pacers,118
"Sat, Dec 10, 2016",10:30 pm,New Orleans Pelicans,105,Los Angeles Clippers,133
"Sat, Dec 10, 2016",8:00 pm,Golden State Warriors,89,Memphis Grizzlies,110
"Sat, Dec 10, 2016",7:00 pm,Denver Nuggets,121,Orlando Magic,113
"Sat, Dec 10, 2016",8:30 pm,Brooklyn Nets,101,San Antonio Spurs,130
"Sat, Dec 10, 2016",9:00 pm,Sacramento Kings,84,Utah Jazz,104
"Sat, Dec 10, 2016",7:00 pm,Milwaukee Bucks,105,Washington Wizards,110
"Sun, Dec 11, 2016",6:00 pm,Philadelphia 76ers,97,Detroit Pistons,79
"Sun, Dec 11, 2016",9:30 pm,New York Knicks,118,Los Angeles Lakers,112
"Sun, Dec 11, 2016",7:00 pm,Golden State Warriors,116,Minnesota Timberwolves,108
"Sun, Dec 11, 2016",7:00 pm,Boston Celtics,96,Oklahoma City Thunder,99
"Sun, Dec 11, 2016",8:30 pm,New Orleans Pelicans,120,Phoenix Suns,119
"Mon, Dec 12, 2016",8:30 pm,Denver Nuggets,92,Dallas Mavericks,112
"Mon, Dec 12, 2016",8:00 pm,Brooklyn Nets,118,Houston Rockets,122
"Mon, Dec 12, 2016",7:00 pm,Charlotte Hornets,94,Indiana Pacers,110
"Mon, Dec 12, 2016",10:30 pm,Portland Trail Blazers,120,Los Angeles Clippers,121
"Mon, Dec 12, 2016",7:30 pm,Washington Wizards,101,Miami Heat,112
"Mon, Dec 12, 2016",10:30 pm,Los Angeles Lakers,92,Sacramento Kings,116
"Mon, Dec 12, 2016",7:30 pm,Milwaukee Bucks,100,Toronto Raptors,122
"Tue, Dec 13, 2016",7:30 pm,Orlando Magic,131,Atlanta Hawks,120
"Tue, Dec 13, 2016",8:00 pm,Minnesota Timberwolves,99,Chicago Bulls,94
"Tue, Dec 13, 2016",7:00 pm,Memphis Grizzlies,86,Cleveland Cavaliers,103
"Tue, Dec 13, 2016",8:00 pm,Golden State Warriors,113,New Orleans Pelicans,109
"Tue, Dec 13, 2016",9:00 pm,New York Knicks,111,Phoenix Suns,113
"Tue, Dec 13, 2016",10:30 pm,Oklahoma City Thunder,95,Portland Trail Blazers,114
"Wed, Dec 14, 2016",7:30 pm,Los Angeles Lakers,97,Brooklyn Nets,107
"Wed, Dec 14, 2016",8:30 pm,Detroit Pistons,95,Dallas Mavericks,85
"Wed, Dec 14, 2016",8:00 pm,Sacramento Kings,98,Houston Rockets,132
"Wed, Dec 14, 2016",8:00 pm,Cleveland Cavaliers,85,Memphis Grizzlies,93
"Wed, Dec 14, 2016",7:00 pm,Indiana Pacers,89,Miami Heat,95
"Wed, Dec 14, 2016",7:00 pm,Los Angeles Clippers,113,Orlando Magic,108
"Wed, Dec 14, 2016",7:00 pm,Toronto Raptors,123,Philadelphia 76ers,114
"Wed, Dec 14, 2016",9:30 pm,Boston Celtics,101,San Antonio Spurs,108
"Wed, Dec 14, 2016",9:00 pm,Oklahoma City Thunder,89,Utah Jazz,109
"Wed, Dec 14, 2016",7:00 pm,Charlotte Hornets,106,Washington Wizards,109
"Thu, Dec 15, 2016",9:00 pm,Portland Trail Blazers,120,Denver Nuggets,132
"Thu, Dec 15, 2016",10:30 pm,New York Knicks,90,Golden State Warriors,103
"Thu, Dec 15, 2016",8:00 pm,Chicago Bulls,97,Milwaukee Bucks,108
"Thu, Dec 15, 2016",8:00 pm,Indiana Pacers,95,New Orleans Pelicans,102
"Thu, Dec 15, 2016",9:00 pm,San Antonio Spurs,107,Phoenix Suns,92
"Fri, Dec 16, 2016",7:30 pm,Charlotte Hornets,88,Boston Celtics,96
"Fri, Dec 16, 2016",8:00 pm,Milwaukee Bucks,95,Chicago Bulls,69
"Fri, Dec 16, 2016",8:00 pm,New Orleans Pelicans,100,Houston Rockets,122
"Fri, Dec 16, 2016",8:00 pm,Sacramento Kings,96,Memphis Grizzlies,92
"Fri, Dec 16, 2016",8:00 pm,Los Angeles Clippers,102,Miami Heat,98
"Fri, Dec 16, 2016",7:00 pm,Brooklyn Nets,111,Orlando Magic,118
"Fri, Dec 16, 2016",8:00 pm,Los Angeles Lakers,100,Philadelphia 76ers,89
"Fri, Dec 16, 2016",7:30 pm,Atlanta Hawks,125,Toronto Raptors,121
"Fri, Dec 16, 2016",10:30 pm,Dallas Mavericks,100,Utah Jazz,103
"Fri, Dec 16, 2016",7:00 pm,Detroit Pistons,108,Washington Wizards,122
"Sat, Dec 17, 2016",7:30 pm,Charlotte Hornets,107,Atlanta Hawks,99
"Sat, Dec 17, 2016",7:30 pm,Los Angeles Lakers,108,Cleveland Cavaliers,119
"Sat, Dec 17, 2016",9:00 pm,New York Knicks,114,Denver Nuggets,127
"Sat, Dec 17, 2016",7:00 pm,Indiana Pacers,105,Detroit Pistons,90
"Sat, Dec 17, 2016",10:30 pm,Portland Trail Blazers,90,Golden State Warriors,135
"Sat, Dec 17, 2016",8:00 pm,Houston Rockets,111,Minnesota Timberwolves,109
"Sat, Dec 17, 2016",5:00 pm,Phoenix Suns,101,Oklahoma City Thunder,114
"Sun, Dec 18, 2016",4:00 pm,Sacramento Kings,79,Dallas Mavericks,99
"Sun, Dec 18, 2016",6:00 pm,Utah Jazz,82,Memphis Grizzlies,73
"Sun, Dec 18, 2016",6:00 pm,Boston Celtics,105,Miami Heat,95
"Sun, Dec 18, 2016",6:00 pm,Toronto Raptors,109,Orlando Magic,79
"Sun, Dec 18, 2016",6:00 pm,Brooklyn Nets,107,Philadelphia 76ers,108
"Sun, Dec 18, 2016",7:00 pm,New Orleans Pelicans,100,San Antonio Spurs,113
"Sun, Dec 18, 2016",3:30 pm,Los Angeles Clippers,110,Washington Wizards,117
"Mon, Dec 19, 2016",8:00 pm,Detroit Pistons,82,Chicago Bulls,113
"Mon, Dec 19, 2016",9:00 pm,Dallas Mavericks,107,Denver Nuggets,117
"Mon, Dec 19, 2016",7:00 pm,Washington Wizards,105,Indiana Pacers,107
"Mon, Dec 19, 2016",8:00 pm,Phoenix Suns,108,Minnesota Timberwolves,115
"Mon, Dec 19, 2016",8:00 pm,Atlanta Hawks,110,Oklahoma City Thunder,108
"Tue, Dec 20, 2016",7:00 pm,Los Angeles Lakers,113,Charlotte Hornets,117
"Tue, Dec 20, 2016",10:30 pm,Utah Jazz,74,Golden State Warriors,104
"Tue, Dec 20, 2016",8:00 pm,San Antonio Spurs,102,Houston Rockets,100
"Tue, Dec 20, 2016",10:30 pm,Denver Nuggets,102,Los Angeles Clippers,119
"Tue, Dec 20, 2016",8:00 pm,Boston Celtics,112,Memphis Grizzlies,109
"Tue, Dec 20, 2016",7:30 pm,Orlando Magic,136,Miami Heat,130
"Tue, Dec 20, 2016",8:00 pm,Cleveland Cavaliers,114,Milwaukee Bucks,108
"Tue, Dec 20, 2016",7:30 pm,Indiana Pacers,111,New York Knicks,118
"Tue, Dec 20, 2016",7:00 pm,New Orleans Pelicans,108,Philadelphia 76ers,93
"Tue, Dec 20, 2016",10:30 pm,Portland Trail Blazers,121,Sacramento Kings,126
"Tue, Dec 20, 2016",7:30 pm,Brooklyn Nets,104,Toronto Raptors,116
"Wed, Dec 21, 2016",7:30 pm,Minnesota Timberwolves,92,Atlanta Hawks,84
"Wed, Dec 21, 2016",8:00 pm,Washington Wizards,107,Chicago Bulls,97
"Wed, Dec 21, 2016",7:00 pm,Milwaukee Bucks,102,Cleveland Cavaliers,113
"Wed, Dec 21, 2016",7:30 pm,Memphis Grizzlies,98,Detroit Pistons,86
"Wed, Dec 21, 2016",8:00 pm,Oklahoma City Thunder,121,New Orleans Pelicans,110
"Wed, Dec 21, 2016",9:00 pm,Houston Rockets,125,Phoenix Suns,111
"Wed, Dec 21, 2016",10:00 pm,Dallas Mavericks,96,Portland Trail Blazers,95
"Wed, Dec 21, 2016",9:00 pm,Sacramento Kings,94,Utah Jazz,93
"Thu, Dec 22, 2016",7:30 pm,Golden State Warriors,117,Brooklyn Nets,101
"Thu, Dec 22, 2016",7:00 pm,Boston Celtics,109,Indiana Pacers,102
"Thu, Dec 22, 2016",10:30 pm,San Antonio Spurs,101,Los Angeles Clippers,106
"Thu, Dec 22, 2016",8:00 pm,Los Angeles Lakers,107,Miami Heat,115
"Thu, Dec 22, 2016",7:30 pm,Orlando Magic,95,New York Knicks,106
"Fri, Dec 23, 2016",7:30 pm,Oklahoma City Thunder,117,Boston Celtics,112
"Fri, Dec 23, 2016",7:00 pm,Chicago Bulls,91,Charlotte Hornets,103
"Fri, Dec 23, 2016",7:30 pm,Brooklyn Nets,99,Cleveland Cavaliers,119
"Fri, Dec 23, 2016",9:00 pm,Atlanta Hawks,109,Denver Nuggets,108
"Fri, Dec 23, 2016",7:30 pm,Golden State Warriors,119,Detroit Pistons,113
"Fri, Dec 23, 2016",10:30 pm,Dallas Mavericks,90,Los Angeles Clippers,88
"Fri, Dec 23, 2016",8:00 pm,Houston Rockets,109,Memphis Grizzlies,115
"Fri, Dec 23, 2016",8:00 pm,Washington Wizards,96,Milwaukee Bucks,123
"Fri, Dec 23, 2016",8:00 pm,Sacramento Kings,109,Minnesota Timberwolves,105
"Fri, Dec 23, 2016",8:00 pm,Miami Heat,87,New Orleans Pelicans,91
"Fri, Dec 23, 2016",7:00 pm,Los Angeles Lakers,90,Orlando Magic,109
"Fri, Dec 23, 2016",9:00 pm,Philadelphia 76ers,116,Phoenix Suns,123
"Fri, Dec 23, 2016",10:00 pm,San Antonio Spurs,110,Portland Trail Blazers,90
"Fri, Dec 23, 2016",9:00 pm,Toronto Raptors,104,Utah Jazz,98
"Sun, Dec 25, 2016",2:30 pm,Golden State Warriors,108,Cleveland Cavaliers,109
"Sun, Dec 25, 2016",10:30 pm,Los Angeles Clippers,102,Los Angeles Lakers,111
"Sun, Dec 25, 2016",12:00 pm,Boston Celtics,119,New York Knicks,114
"Sun, Dec 25, 2016",8:00 pm,Minnesota Timberwolves,100,Oklahoma City Thunder,112
"Sun, Dec 25, 2016",5:00 pm,Chicago Bulls,100,San Antonio Spurs,119
"Mon, Dec 26, 2016",7:30 pm,Charlotte Hornets,118,Brooklyn Nets,120
"Mon, Dec 26, 2016",8:00 pm,Indiana Pacers,85,Chicago Bulls,90
"Mon, Dec 26, 2016",7:30 pm,Cleveland Cavaliers,90,Detroit Pistons,106
"Mon, Dec 26, 2016",8:00 pm,Phoenix Suns,115,Houston Rockets,131
"Mon, Dec 26, 2016",10:30 pm,Denver Nuggets,106,Los Angeles Clippers,102
"Mon, Dec 26, 2016",8:00 pm,Atlanta Hawks,90,Minnesota Timberwolves,104
"Mon, Dec 26, 2016",8:00 pm,Dallas Mavericks,104,New Orleans Pelicans,111
"Mon, Dec 26, 2016",7:00 pm,Memphis Grizzlies,102,Orlando Magic,112
"Mon, Dec 26, 2016",10:00 pm,Toronto Raptors,95,Portland Trail Blazers,91
"Mon, Dec 26, 2016",10:30 pm,Philadelphia 76ers,100,Sacramento Kings,102
"Mon, Dec 26, 2016",7:00 pm,Milwaukee Bucks,102,Washington Wizards,107
"Tue, Dec 27, 2016",7:30 pm,Memphis Grizzlies,103,Boston Celtics,113
"Tue, Dec 27, 2016",8:30 pm,Houston Rockets,123,Dallas Mavericks,107
"Tue, Dec 27, 2016",10:30 pm,Utah Jazz,102,Los Angeles Lakers,100
"Tue, Dec 27, 2016",7:30 pm,Oklahoma City Thunder,106,Miami Heat,94
"Wed, Dec 28, 2016",7:30 pm,New York Knicks,98,Atlanta Hawks,102
"Wed, Dec 28, 2016",8:00 pm,Brooklyn Nets,99,Chicago Bulls,101
"Wed, Dec 28, 2016",9:00 pm,Minnesota Timberwolves,103,Denver Nuggets,105
"Wed, Dec 28, 2016",7:30 pm,Milwaukee Bucks,119,Detroit Pistons,94
"Wed, Dec 28, 2016",10:30 pm,Toronto Raptors,111,Golden State Warriors,121
"Wed, Dec 28, 2016",8:00 pm,Los Angeles Clippers,98,New Orleans Pelicans,102
"Wed, Dec 28, 2016",7:00 pm,Charlotte Hornets,120,Orlando Magic,101
"Wed, Dec 28, 2016",10:00 pm,Sacramento Kings,89,Portland Trail Blazers,102
"Wed, Dec 28, 2016",8:30 pm,Phoenix Suns,98,San Antonio Spurs,119
"Wed, Dec 28, 2016",7:00 pm,Indiana Pacers,105,Washington Wizards,111
"Thu, Dec 29, 2016",7:00 pm,Miami Heat,82,Charlotte Hornets,91
"Thu, Dec 29, 2016",8:00 pm,Boston Celtics,118,Cleveland Cavaliers,124
"Thu, Dec 29, 2016",10:30 pm,Dallas Mavericks,101,Los Angeles Lakers,89
"Thu, Dec 29, 2016",8:00 pm,Oklahoma City Thunder,80,Memphis Grizzlies,114
"Thu, Dec 29, 2016",9:00 pm,Toronto Raptors,91,Phoenix Suns,99
"Thu, Dec 29, 2016",9:00 pm,Philadelphia 76ers,83,Utah Jazz,100
"Fri, Dec 30, 2016",8:00 pm,Detroit Pistons,98,Atlanta Hawks,105
"Fri, Dec 30, 2016",7:30 pm,Miami Heat,114,Boston Celtics,117
"Fri, Dec 30, 2016",9:00 pm,Philadelphia 76ers,124,Denver Nuggets,122
"Fri, Dec 30, 2016",10:30 pm,Dallas Mavericks,99,Golden State Warriors,108
"Fri, Dec 30, 2016",8:00 pm,Los Angeles Clippers,116,Houston Rockets,140
"Fri, Dec 30, 2016",4:00 pm,Chicago Bulls,101,Indiana Pacers,111
"Fri, Dec 30, 2016",8:00 pm,Milwaukee Bucks,99,Minnesota Timberwolves,116
"Fri, Dec 30, 2016",8:00 pm,New York Knicks,92,New Orleans Pelicans,104
"Fri, Dec 30, 2016",8:30 pm,Portland Trail Blazers,94,San Antonio Spurs,110
"Fri, Dec 30, 2016",7:00 pm,Brooklyn Nets,95,Washington Wizards,118
"Sat, Dec 31, 2016",7:00 pm,Milwaukee Bucks,116,Chicago Bulls,96
"Sat, Dec 31, 2016",7:00 pm,Cleveland Cavaliers,121,Charlotte Hornets,109
"Sat, Dec 31, 2016",8:00 pm,New York Knicks,122,Houston Rockets,129
"Sat, Dec 31, 2016",8:00 pm,Los Angeles Clippers,88,Oklahoma City Thunder,114
"Sat, Dec 31, 2016",5:00 pm,Memphis Grizzlies,112,Sacramento Kings,98
"Sat, Dec 31, 2016",8:00 pm,Phoenix Suns,86,Utah Jazz,91
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sun, Jan 1, 2017",6:00 pm,San Antonio Spurs,112,Atlanta Hawks,114
"Sun, Jan 1, 2017",6:00 pm,Orlando Magic,104,Indiana Pacers,117
"Sun, Jan 1, 2017",9:30 pm,Toronto Raptors,123,Los Angeles Lakers,114
"Sun, Jan 1, 2017",6:00 pm,Detroit Pistons,107,Miami Heat,98
"Sun, Jan 1, 2017",7:00 pm,Portland Trail Blazers,95,Minnesota Timberwolves,89
"Mon, Jan 2, 2017",7:30 pm,Utah Jazz,101,Brooklyn Nets,89
"Mon, Jan 2, 2017",8:00 pm,Charlotte Hornets,111,Chicago Bulls,118
"Mon, Jan 2, 2017",7:00 pm,New Orleans Pelicans,82,Cleveland Cavaliers,90
"Mon, Jan 2, 2017",10:30 pm,Denver Nuggets,119,Golden State Warriors,127
"Mon, Jan 2, 2017",8:00 pm,Washington Wizards,91,Houston Rockets,101
"Mon, Jan 2, 2017",10:30 pm,Phoenix Suns,98,Los Angeles Clippers,109
"Mon, Jan 2, 2017",7:00 pm,Oklahoma City Thunder,94,Milwaukee Bucks,98
"Mon, Jan 2, 2017",7:30 pm,Orlando Magic,115,New York Knicks,103
"Tue, Jan 3, 2017",7:30 pm,Utah Jazz,104,Boston Celtics,115
"Tue, Jan 3, 2017",8:30 pm,Washington Wizards,105,Dallas Mavericks,113
"Tue, Jan 3, 2017",9:00 pm,Sacramento Kings,120,Denver Nuggets,113
"Tue, Jan 3, 2017",7:30 pm,Indiana Pacers,121,Detroit Pistons,116
"Tue, Jan 3, 2017",10:30 pm,Memphis Grizzlies,102,Los Angeles Lakers,116
"Tue, Jan 3, 2017",7:00 pm,Minnesota Timberwolves,91,Philadelphia 76ers,93
"Tue, Jan 3, 2017",9:00 pm,Miami Heat,90,Phoenix Suns,99
"Tue, Jan 3, 2017",8:30 pm,Toronto Raptors,82,San Antonio Spurs,110
"Wed, Jan 4, 2017",7:00 pm,Oklahoma City Thunder,112,Charlotte Hornets,123
"Wed, Jan 4, 2017",8:00 pm,Chicago Bulls,106,Cleveland Cavaliers,94
"Wed, Jan 4, 2017",10:30 pm,Portland Trail Blazers,117,Golden State Warriors,125
"Wed, Jan 4, 2017",10:30 pm,Memphis Grizzlies,106,Los Angeles Clippers,115
"Wed, Jan 4, 2017",7:30 pm,Milwaukee Bucks,105,New York Knicks,104
"Wed, Jan 4, 2017",7:00 pm,Atlanta Hawks,111,Orlando Magic,92
"Wed, Jan 4, 2017",10:30 pm,Miami Heat,107,Sacramento Kings,102
"Thu, Jan 5, 2017",8:30 pm,Phoenix Suns,102,Dallas Mavericks,95
"Thu, Jan 5, 2017",9:00 pm,San Antonio Spurs,127,Denver Nuggets,99
"Thu, Jan 5, 2017",7:30 pm,Charlotte Hornets,114,Detroit Pistons,115
"Thu, Jan 5, 2017",8:00 pm,Oklahoma City Thunder,116,Houston Rockets,118
"Thu, Jan 5, 2017",7:00 pm,Brooklyn Nets,109,Indiana Pacers,121
"Thu, Jan 5, 2017",8:00 pm,Atlanta Hawks,99,New Orleans Pelicans,94
"Thu, Jan 5, 2017",10:30 pm,Los Angeles Lakers,109,Portland Trail Blazers,118
"Thu, Jan 5, 2017",7:30 pm,Utah Jazz,93,Toronto Raptors,101
"Fri, Jan 6, 2017",7:30 pm,Philadelphia 76ers,106,Boston Celtics,110
"Fri, Jan 6, 2017",7:30 pm,Cleveland Cavaliers,116,Brooklyn Nets,108
"Fri, Jan 6, 2017",10:30 pm,Memphis Grizzlies,128,Golden State Warriors,119
"Fri, Jan 6, 2017",10:30 pm,Miami Heat,100,Los Angeles Lakers,127
"Fri, Jan 6, 2017",8:00 pm,New York Knicks,116,Milwaukee Bucks,111
"Fri, Jan 6, 2017",7:00 pm,Houston Rockets,100,Orlando Magic,93
"Fri, Jan 6, 2017",10:30 pm,Los Angeles Clippers,106,Sacramento Kings,98
"Fri, Jan 6, 2017",7:00 pm,Minnesota Timberwolves,105,Washington Wizards,112
"Sat, Jan 7, 2017",7:30 pm,New Orleans Pelicans,108,Boston Celtics,117
"Sat, Jan 7, 2017",8:00 pm,Toronto Raptors,118,Chicago Bulls,123
"Sat, Jan 7, 2017",8:30 pm,Atlanta Hawks,97,Dallas Mavericks,82
"Sat, Jan 7, 2017",7:00 pm,New York Knicks,109,Indiana Pacers,123
"Sat, Jan 7, 2017",8:00 pm,Utah Jazz,94,Minnesota Timberwolves,92
"Sat, Jan 7, 2017",8:00 pm,Denver Nuggets,106,Oklahoma City Thunder,121
"Sat, Jan 7, 2017",8:30 pm,Charlotte Hornets,85,San Antonio Spurs,102
"Sun, Jan 8, 2017",12:00 pm,Philadelphia 76ers,105,Brooklyn Nets,95
"Sun, Jan 8, 2017",3:30 pm,Miami Heat,86,Los Angeles Clippers,98
"Sun, Jan 8, 2017",9:30 pm,Orlando Magic,95,Los Angeles Lakers,111
"Sun, Jan 8, 2017",8:00 pm,Utah Jazz,79,Memphis Grizzlies,88
"Sun, Jan 8, 2017",2:00 pm,Washington Wizards,107,Milwaukee Bucks,101
"Sun, Jan 8, 2017",8:30 pm,Cleveland Cavaliers,120,Phoenix Suns,116
"Sun, Jan 8, 2017",9:00 pm,Detroit Pistons,125,Portland Trail Blazers,124
"Sun, Jan 8, 2017",9:00 pm,Golden State Warriors,117,Sacramento Kings,106
"Sun, Jan 8, 2017",6:00 pm,Houston Rockets,129,Toronto Raptors,122
"Mon, Jan 9, 2017",8:00 pm,Oklahoma City Thunder,109,Chicago Bulls,94
"Mon, Jan 9, 2017",8:00 pm,Dallas Mavericks,92,Minnesota Timberwolves,101
"Mon, Jan 9, 2017",7:30 pm,New Orleans Pelicans,110,New York Knicks,96
"Tue, Jan 10, 2017",7:30 pm,Atlanta Hawks,117,Brooklyn Nets,97
"Tue, Jan 10, 2017",10:30 pm,Miami Heat,95,Golden State Warriors,107
"Tue, Jan 10, 2017",8:00 pm,Charlotte Hornets,114,Houston Rockets,121
"Tue, Jan 10, 2017",10:30 pm,Portland Trail Blazers,108,Los Angeles Lakers,87
"Tue, Jan 10, 2017",10:30 pm,Detroit Pistons,94,Sacramento Kings,100
"Tue, Jan 10, 2017",8:30 pm,Milwaukee Bucks,109,San Antonio Spurs,107
"Tue, Jan 10, 2017",7:30 pm,Boston Celtics,106,Toronto Raptors,114
"Tue, Jan 10, 2017",9:00 pm,Cleveland Cavaliers,92,Utah Jazz,100
"Tue, Jan 10, 2017",7:00 pm,Chicago Bulls,99,Washington Wizards,101
"Wed, Jan 11, 2017",8:00 pm,Washington Wizards,108,Boston Celtics,117
"Wed, Jan 11, 2017",10:30 pm,Orlando Magic,96,Los Angeles Clippers,105
"Wed, Jan 11, 2017",8:00 pm,Houston Rockets,105,Minnesota Timberwolves,119
"Wed, Jan 11, 2017",8:00 pm,Memphis Grizzlies,95,Oklahoma City Thunder,103
"Wed, Jan 11, 2017",7:00 pm,New York Knicks,97,Philadelphia 76ers,98
"Wed, Jan 11, 2017",10:30 pm,Cleveland Cavaliers,86,Portland Trail Blazers,102
"Thu, Jan 12, 2017",7:30 pm,New Orleans Pelicans,104,Brooklyn Nets,95
"Thu, Jan 12, 2017",3:00 pm,Indiana Pacers,112,Denver Nuggets,140
"Thu, Jan 12, 2017",10:30 pm,Detroit Pistons,107,Golden State Warriors,127
"Thu, Jan 12, 2017",8:00 pm,Chicago Bulls,89,New York Knicks,104
"Thu, Jan 12, 2017",10:00 pm,Dallas Mavericks,113,Phoenix Suns,108
"Thu, Jan 12, 2017",8:30 pm,Los Angeles Lakers,94,San Antonio Spurs,134
"Fri, Jan 13, 2017",8:00 pm,Boston Celtics,103,Atlanta Hawks,101
"Fri, Jan 13, 2017",8:00 pm,Memphis Grizzlies,110,Houston Rockets,105
"Fri, Jan 13, 2017",8:00 pm,Miami Heat,108,Milwaukee Bucks,116
"Fri, Jan 13, 2017",8:00 pm,Oklahoma City Thunder,86,Minnesota Timberwolves,96
"Fri, Jan 13, 2017",7:00 pm,Charlotte Hornets,93,Philadelphia 76ers,102
"Fri, Jan 13, 2017",10:00 pm,Orlando Magic,115,Portland Trail Blazers,109
"Fri, Jan 13, 2017",10:30 pm,Cleveland Cavaliers,120,Sacramento Kings,108
"Fri, Jan 13, 2017",7:30 pm,Brooklyn Nets,113,Toronto Raptors,132
"Fri, Jan 13, 2017",10:30 pm,Detroit Pistons,77,Utah Jazz,110
"Sat, Jan 14, 2017",5:00 pm,New Orleans Pelicans,99,Chicago Bulls,107
"Sat, Jan 14, 2017",3:30 pm,Los Angeles Lakers,97,Los Angeles Clippers,113
"Sat, Jan 14, 2017",6:00 pm,San Antonio Spurs,105,Phoenix Suns,108
"Sat, Jan 14, 2017",9:00 pm,Orlando Magic,107,Utah Jazz,114
"Sat, Jan 14, 2017",8:00 pm,Philadelphia 76ers,93,Washington Wizards,109
"Sun, Jan 15, 2017",3:00 pm,Milwaukee Bucks,98,Atlanta Hawks,111
"Sun, Jan 15, 2017",6:00 pm,Houston Rockets,137,Brooklyn Nets,112
"Sun, Jan 15, 2017",2:00 pm,Minnesota Timberwolves,87,Dallas Mavericks,98
"Sun, Jan 15, 2017",9:30 pm,Detroit Pistons,102,Los Angeles Lakers,97
"Sun, Jan 15, 2017",9:00 pm,Chicago Bulls,108,Memphis Grizzlies,104
