Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Oct 29, 2016",12:30 pm,Atlanta Hawks,104,Philadelphia 76ers,72
"Sat, Oct 29, 2016",10:30 pm,Minnesota Timberwolves,103,Sacramento Kings,106
"Sat, Oct 29, 2016",8:00 pm,New Orleans Pelicans,79,San Antonio Spurs,98
"Sun, Oct 30, 2016",6:00 pm,Milwaukee Bucks,83,Detroit Pistons,98
"Sun, Oct 30, 2016",8:00 pm,Dallas Mavericks,92,Houston Rockets,93
"Sun, Oct 30, 2016",4:30 pm,Utah Jazz,75,Los Angeles Clippers,88
"Sun, Oct 30, 2016",8:00 pm,Washington Wizards,103,Memphis Grizzlies,112
"Sun, Oct 30, 2016",6:00 pm,San Antonio Spurs,106,Miami Heat,99
"Sun, Oct 30, 2016",7:00 pm,Los Angeles Lakers,96,Oklahoma City Thunder,113
"Sun, Oct 30, 2016",6:00 pm,Golden State Warriors,106,Phoenix Suns,100
"Mon, Oct 31, 2016",7:30 pm,Sacramento Kings,95,Atlanta Hawks,106
"Mon, Oct 31, 2016",7:30 pm,Chicago Bulls,118,Brooklyn Nets,88
"Mon, Oct 31, 2016",10:30 pm,Phoenix Suns,98,Los Angeles Clippers,116
"Mon, Oct 31, 2016",7:30 pm,Denver Nuggets,102,Toronto Raptors,105
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Nov 1, 2016",6:00 pm,Houston Rockets,120,Cleveland Cavaliers,128
"Tue, Nov 1, 2016",7:30 pm,New York Knicks,89,Detroit Pistons,102
"Tue, Nov 1, 2016",7:00 pm,Los Angeles Lakers,108,Indiana Pacers,115
"Tue, Nov 1, 2016",7:30 pm,Sacramento Kings,96,Miami Heat,108
"Tue, Nov 1, 2016",8:00 pm,Memphis Grizzlies,80,Minnesota Timberwolves,116
"Tue, Nov 1, 2016",8:00 pm,Milwaukee Bucks,117,New Orleans Pelicans,113
"Tue, Nov 1, 2016",7:00 pm,Orlando Magic,103,Philadelphia 76ers,101
"Tue, Nov 1, 2016",10:00 pm,Golden State Warriors,127,Portland Trail Blazers,104
"Tue, Nov 1, 2016",8:30 pm,Utah Jazz,106,San Antonio Spurs,91
"Wed, Nov 2, 2016",7:30 pm,Los Angeles Lakers,123,Atlanta Hawks,116
"Wed, Nov 2, 2016",8:00 pm,Chicago Bulls,100,Boston Celtics,107
"Wed, Nov 2, 2016",7:30 pm,Detroit Pistons,101,Brooklyn Nets,109
"Wed, Nov 2, 2016",7:00 pm,Philadelphia 76ers,93,Charlotte Hornets,109
"Wed, Nov 2, 2016",10:30 pm,Oklahoma City Thunder,85,Los Angeles Clippers,83
"Wed, Nov 2, 2016",8:00 pm,New Orleans Pelicans,83,Memphis Grizzlies,89
"Wed, Nov 2, 2016",7:30 pm,Houston Rockets,118,New York Knicks,99
"Wed, Nov 2, 2016",10:00 pm,Portland Trail Blazers,115,Phoenix Suns,118
"Wed, Nov 2, 2016",9:00 pm,Dallas Mavericks,81,Utah Jazz,97
"Wed, Nov 2, 2016",7:00 pm,Toronto Raptors,113,Washington Wizards,103
"Thu, Nov 3, 2016",8:00 pm,Boston Celtics,122,Cleveland Cavaliers,128
"Thu, Nov 3, 2016",10:30 pm,Oklahoma City Thunder,96,Golden State Warriors,122
"Thu, Nov 3, 2016",8:00 pm,Indiana Pacers,107,Milwaukee Bucks,125
"Thu, Nov 3, 2016",8:00 pm,Denver Nuggets,102,Minnesota Timberwolves,99
"Thu, Nov 3, 2016",7:00 pm,Sacramento Kings,94,Orlando Magic,102
"Fri, Nov 4, 2016",7:30 pm,Charlotte Hornets,99,Brooklyn Nets,95
"Fri, Nov 4, 2016",8:00 pm,New York Knicks,117,Chicago Bulls,104
"Fri, Nov 4, 2016",8:30 pm,Portland Trail Blazers,105,Dallas Mavericks,95
"Fri, Nov 4, 2016",10:30 pm,Golden State Warriors,97,Los Angeles Lakers,117
"Fri, Nov 4, 2016",8:00 pm,Los Angeles Clippers,99,Memphis Grizzlies,88
"Fri, Nov 4, 2016",8:00 pm,Phoenix Suns,112,New Orleans Pelicans,111
"Fri, Nov 4, 2016",7:30 pm,Miami Heat,87,Toronto Raptors,96
"Fri, Nov 4, 2016",9:00 pm,San Antonio Spurs,100,Utah Jazz,86
"Fri, Nov 4, 2016",7:00 pm,Atlanta Hawks,92,Washington Wizards,95
